,0
Countess,
Crimson_Crusader,
Crimson_Dynamo,
Crimson_Dynamo_Iron_Man_3_-_The_Official_Game,
Crimson_King,
Crossbones,
Crule,
Crusher_Hogan,
Crusher_Hogan_Ultimate,
Crystal,
Cuckoo,
Curt_Conners,
Cuthbert,
Cyber,
Cyclops,
Cyclops_Ultimate,
Cyclops_X-Men:_Battle_of_the_Atom,
Cypher,
D'Ken_Neramani,
Dagger,
Daily_Bugle,
Daimon_Hellstrom,
Daken,
Dakota_North,
Damage_Control,
Dani_Moonstar,
Danny_Rand,
Daredevil,"Abandoned by his mother, Matt Murdock was raised by his father, boxer ""Battling Jack"" Murdock, in Hell's Kitchen. Realizing that rules were needed to prevent people from behaving badly, young Matt decided to study law; however, when he saved a man from an oncoming truck, it spilled a radioactive cargo that rendered Matt blind while enhancing his remaining senses. Under the harsh tutelage of blind martial arts master Stick, Matt mastered his heightened senses and became a formidable fighter."
Daredevil_LEGO_Marvel_Super_Heroes,
Daredevil_Marvel_Heroes,
Daredevil_Ultimate,
Dargo_Ktor,
Dark_Avengers,
Dark_Beast,
Dark_Phoenix,
Dark_X-Men,
Darkhawk,
Darkstar,
Darwin,
Dazzler,
Dazzler_Ultimate,
Deacon_Frost,
Dead_Girl,
Deadpool,
Deadpool_Deadpool,
Deadpool_LEGO_Marvel_Super_Heroes,
Deadpool_X-Men:_Battle_of_the_Atom,
Death,
Deathbird,
Deathcry,
Deathlok,&nbsp;
Deathstrike_Ultimate,
Debra_Whitman,
Debrii,
Deena_Pilgrim,
Defenders,
Demogoblin,"Jason Macendale, the newest Hobgoblin was down on his luck and offered the demon N'astirh his soul in exchange for power during the  Inferno crisis, turning him into the Demogoblin."
Destiny,
Detective_Soap,
Deviants,
Devil_Dinosaur_Devil_Dinosaur,
Devil_Dinosaur_HAS,"They say a dog is man's best friend, so naturally Hulk's best friend is a T-Rex! Devil Dinosaur is the team's trusty prehistoric pet that occasionally lends his massive jaws to the fight. Although he's got tiny arms, Devil's got a big heart and an even bigger bite!"
Devos,
Dexter_Bennett,
Diablo,
Diamondback_Rachel_Leighton,
Dinah_Soar,
Dirk_Anger,
Doc_Samson,
Doctor_Doom,
Doctor_Doom_Ultimate,
Doctor_Faustus,
Doctor_Octopus,
Doctor_Octopus_Ultimate,
Doctor_Spectrum,
Doctor_Strange,
Doctor_Strange_Ultimate,
Doctor_Voodoo,
Dog_Brother_#1,
Domino,
Donald_Blake,
Doomsday_Man,
Doop,
Doorman,
Dora_Milaje,
Dorian_Gray,
Dormammu,
Dormammu_Ultimate,
Dr._Strange_Marvel:_Avengers_Alliance,
Dracula,
Dragon_Lord,
Dragon_Man,
Drax,
Dreadnoughts,
Dreaming_Celestial,
Druig,
Dum_Dum_Dugan,
Dust,
Earthquake,
Echo,
Eddie_Brock,
Eddie_Lau,
"Edward_""Ted""_Forrester",
Edwin_Jarvis,
Ego,
Electro,
Electro_Ultimate,
Elektra,
Elektra_Ultimate,
Elements_of_Doom,
Elite,
Elixir,
Elloe_Kaifi,
Elsa_Bloodstone,
Emma_Frost,
Empath,
Emplate,
Enchantress_Amora,
Enchantress_Sylvie_Lushton,
Ender_Wiggin,
Energizer,
Epoch,
Erik_the_Red,
Eternals,
Eternity,
Excalibur,
Executioner_Skurge,
Exiles,
Exodus,
Expediter,
Ezekiel,
Ezekiel_Stane,
Fabian_Cortez,
Falcon,"With a mental connection to all birds and a suit that gives him wings to fly, The Falcon has been both the partner to Captain America and an Avenger himself. Whether as a super hero or in his secret identity of social worker Sam Wilson, The Falcon dedicates his life to standing up for others."
Falcon_Sam_Wilson_MAA,"Recruited from S.H.I.E.L.D. by his hero and mentor Tony Stark, Falcon is the Avengers' newest and youngest recruit. Like Tony, Sam is a genius with machines and technology. What he lacks in experience, Sam makes up in enthusiasm and determination. Falcon's suit of armor comes fully stocked with holographic wings, explosive flechettes, and retractable talons."
Fallen_One,
Famine,
Fantastic_Four,"After being exposed to cosmic rays, Reed Richards, Susan Storm, Ben Grimm and Johnny Storm found they had amazing new powers. Reed Richards found he has the ability to stretch his body in any way he wanted, while Susan Storm can turn herself, objects and other people invisible. Ben Grimm transformed into a rocky, super-strong behemoth and Johnny Storm has the ability to set himself on fire. Dubbed the Fantastic Four, Mr. Fantastic, Invisible Woman, Thing and the Human Torch are Marvel's First Family."
Fantastic_Four_Ultimate,
Fantastick_Four,
Fantomex,
Fat_Cobra,
Felicia_Hardy,
Fenris,
Feral,
Fin_Fang_Foom,
Firebird,
Firebrand,
Firedrake,
Firelord,
Firestar,
Firestar_Ultimate,
Fixer_Paul_Norbert_Ebersol,
Flatman,
Flying_Dutchman,
Foggy_Nelson,
Force_Works,
Forearm,
Forge,
Forge_Ultimate,
Forgotten_One,
Frank_Castle,
Frankenstein's_Monster,
Franklin_Richards,"The son of Reed Richards and Susan Storm of the Fantastic Four, Franklin may one day be the most powerful person on Earth. Right now, he's the son of a genius who finds adventure and fun around every corner."
Franklin_Storm,Franklin Storm was the father of Susan and Johnny Storm.
Freak,
Frenzy,
Frightful_Four,
Frog_Thor,
Frog-Man,
Gabe_Jones,
Galactus,
Galia,
Gambit,
Gamma_Corps,
Gamora,
Gamora_Marvel_War_of_Heroes,
Gargoyle,
Gargoyle_Isaac_Christians,
Gargoyle_Yuri_Topolov,
Garia,
Garrison_Kane,
Gateway,
Gauntlet_Joseph_Green,
Geiger,
Gene_Sailors,
Generation_X,
Genesis,
Genis-Vell,
George_Stacy_Ultimate,
Gertrude_Yorkes,
Ghost_Rider_Daniel_Ketch,
Ghost_Rider_Johnny_Blaze,
Ghost_Rider_Marvel_War_of_Heroes,
Giant_Girl,
Giant_Man,
Giant-dok,
Giant-Man_Ultimate,
Gideon,
Gilgamesh,
Git_Hoskins,
Gladiator_Kallark,
Gladiator_Melvin_Potter,
Glenn_Talbot,"Major Glenn Talbot was member of United States Air Force, United States Army and Hulkbusters."
Glorian,
Goblin_Queen,
Golden_Guardian,
Goliath_Bill_Foster,
Gorgon,
Gorgon_Inhumans,
Gorilla_Man,
Grandmaster,
Graviton,
Gravity,
Great_Lakes_Avengers,
Green_Goblin_Barry_Norman_Osborn,
Green_Goblin_Harry_Osborn,
Green_Goblin_Norman_Osborn,
Green_Goblin_Ultimate,
Gressill,
Grey_Gargoyle,
Greymalkin,
Grim_Reaper,
Groot,
Guardian,
Guardians_of_the_Galaxy,"A group of cosmic adventurers brought together by Star-Lord, the  Guardians of the Galaxy protect the universe from threats all  across space. The team also includes Drax, Gamora, Groot and Rocket  Raccoon!"
Guardsmen,
Gunslinger,
GW_Bridge,
Gwen_Stacy,"Peter Parker's first true love, Gwen Stacy was killed during a rescue attempt by Spider-Man, the guilt from which Peter has never overcome."
Gwen_Stacy_Ultimate,
H.A.M.M.E.R.,
H.E.R.B.I.E.,
Hairball,
Half-Life_Tony_Masterson,
Hammerhead,
Hammerhead_Ultimate,
Hank_Pym, 
Hannibal_King,
Happy_Hogan,
Hardball,
Harley_Davidson_Cooper,
Harpoon,
Harrier,
Harry_Heck,
Harry_Osborn,
Harry_Osborn_Ultimate,
Hate-Monger_Adolf_Hitler,
Havok,
Hawkeye,
Hawkeye_Kate_Bishop,
Hawkeye_Marvel_Heroes,
Hawkeye_Ultimate,
Hawkeye_Clint_Barton_MAA,"Hawkeye is an expert archer with an attitude just as on-target as his aim. His stealth combat experience and his ability to hit any target with any projectile make him a valuable member of the Avengers. However, he refuses to let things get too serious, as he has as many jokes as he does arrows!"
Hecate_Ravonna_Renslayer,
Hedge_Knight,
Hela,"Hela was born ages ago to the being who would one day be called Odin and a goddess whose name and image have been lost in antiquity. On the day of her maturity, Odin appointed her goddess and ruler of the northernmost realms of the dead. Her special dominion was over the souls of all who did not die in battle, while Odin himself built the palace Valhalla to house the souls of all of those who died as heroes. In recent years, when Odin&rsquo;s attention had strayed from the maintenance of Valhalla, Hela tried to annex that realm to her own, hoping to consolidate her power over all Asgard&rsquo;s dead. Eventually Odin grew aware of her ambitions and opposed them. In the course of battle, Odin&rsquo;s band of Valkyries, the custodians of Valhalla, lost their physical forms, no longer able to travel from Valhalla except in their wraith-like astral forms. Hela gave up her contest for Valhalla when Odin vowed to keep better watch over it in future, and she returned to her realms."
Hellcat_Patsy_Walker,
Hellfire_Club,
Hellfire_Club_Ultimate,
Hellion,
Hellions_Squad,
Hemingway,
Henry_Peter_Gyrich,
Hepzibah,
Hercules,
Heroes_For_Hire,
Hex,
High_Evolutionary,
Hindsight_Lad,
Hiroim,
Hitman,
Hitomi_Sakuma,
Hobgoblin_Jason_Macendale,
Hobgoblin_Robin_Borne,
Hobgoblin_Roderick_Kingsley,
Holocaust_Age_of_Apocalypse,
Holy,
Honey_Badger_Gabrielle_Kinney,
Hope_Summers,
Howard_Saint,
Howard_The_Duck,
Hulk,"Caught in a gamma bomb explosion while trying to save the life of a teenager, Dr. Bruce Banner was transformed into the incredibly powerful creature called the Hulk. An all too often misunderstood hero, the angrier the Hulk gets, the stronger the Hulk gets."
Hulk_HAS,"The Hulk is the biggest, strongest, smashing-est hero in the Marvel Universe - the green glue that holds his crazy family-like team together. Hulk loves saving the world by smashing every alien, sea creature, and planet (literally) that tries to destroy it. He is the star of his best bud A-Bomb's web series, and just wants to show people his good intentions!"
Hulk_LEGO_Marvel_Super_Heroes,
Hulk_Marvel_Zombies,
Hulk_Marvel:_Avengers_Alliance,
Hulk_Ultimate,
Hulk-dok,
Hulk_Bruce_Banner_MAA,"Scientist Bruce Banner was transformed into the Hulk as a result to gamma radiation exposure. Over 8 feet tall and weighing 1,040 pounds, it's Hulk's strength that makes him the strongest hero in the Marvel Universe! Hulk smashes all threats that dare disturb the peace and friendship he has found in the Avengers. "
Hulkling,
Human_Cannonball,
Human_Fly_Richard_Deacon,
Human_Robot,
Human_Torch,
Human_Torch_Jim_Hammond,
Human_Torch_Ultimate,
Humbug,
Husk,
Hussar,
Hydra,
Hydro-Man,
Hyperion_Earth-712,
Hypno-Hustler,
Iceman,
Iceman_Ultimate,
Iceman_X-Men:_Battle_of_the_Atom,
Ikaris,
Illuminati,
Ilyana_Rasputin,
Immortus,
Imp,
Imperfects,
Imperial_Guard,
Impossible_Man,
In-Betweener,
Inertia,
Infant_Terrible,
Inhumans,
Ink,
Invaders,
Invisible_Woman,
Invisible_Woman_Marvel:_Avengers_Alliance,
Invisible_Woman_Ultimate,
Iron_Cross_Army,
Iron_Fist_Bei_Bang-Wen,
Iron_Fist_Danny_Rand,
Iron_Fist_Orson_Randall,
Iron_Fist_Quan_Yaozu,
Iron_Fist_USM,"Danny is always focused yet relaxed - more Zen-focused than chill surfer dude. But when Danny turns into Iron First, he becomes very rigid with perfect posture. A very Yin/Yang character. 

Danny is THE Danny Rand â€“ the 17-year-old head of the giant Rand Corporation.  His wealth rivals Osbornâ€™s â€“ but youâ€™d never know it from his laid- back attitude. However, as Iron Fist, he takes his powers very seriously. 

While Danny and Luke are best friends, Danny has a special respect for Spider-Man, acting as a non-judgmental moral commentator on all of Spider-Manâ€™s actions. "
Iron_Fist_Wu_Ao-Shi,
Iron_Lad,
Iron_Man,"Wounded, captured and forced to build a weapon by his enemies, billionaire industrialist Tony Stark instead created an advanced suit of armor to save his life and escape captivity. Now with a new outlook on life, Tony uses his money and intelligence to make the world a safer, better place as Iron Man."
Iron_Man_Iron_Man_3_-_The_Official_Game,
Iron_Man_LEGO_Marvel_Super_Heroes,
Iron_Man_Marvel_Heroes,
Iron_Man_Marvel_War_of_Heroes,
Iron_Man_Ultimate,
Iron_Man_Tony_Stark_MAA,"Tony Stark is the genius inventor/billionaire/philanthropist owner of Stark Industries. With his super high-tech Iron Man suit, he is practically indestructible, able to fly, and has a large selection of weapons to choose from - but it's Tony's quick thinking and ability to adapt and improvise that make him an effective leader of the Avengers.        "
Iron_Monger,
Iron_Patriot,
Iron_Patriot_James_Rhodes,"U.S. Air Force pilot and Tony Stark's friend who has his own suit of Iron Man armor, nicknamed, ""War Machine."""
Ironclad,
Ironheart_Riri_Williams,
Isaiah_Bradley,Isaiah Bradley was an African-American solider that was turned into a super-soldier by Project: Rebirth and grandfather of the Patriot.
J._Jonah_Jameson,
Jack_Flag,
Jack_Murdock,
Jack_O'_Lantern,
Jack_Power,
Jackal,
Jackpot,
James_Buchanan_Barnes,
James_Howlett,
Jamie_Braddock,
Jane_Foster,
"Janus,_the_Nega-Man",
Jasper_Sitwell,
Jazinda,
Jean_Grey,
Jean_Grey_Ultimate,
Jennifer_Smith,
Jeryn_Hogarth,
Jessica_Drew,
Jessica_Jones,
Jetstream,
Jigsaw,
Jimmy_Woo,Jimmy Woo is a former FBI and SHIELD agent from the '50s who now leads the Agents of Atlas in the present.
Joan_the_Mouse,
Jocasta,
John_Farson,
John_Jameson,
John_Porter,
John_Wraith,"A mutant with teleportation powers, Wraith served with Wolverine, Sabretooth, Maverick and Silver Fox in Team X, a covert operations unit formed by Weapon X."
Johnny_Blaze,
Johnny_Storm,
Joseph,
Joshua_Kane,
Josiah_X,
Joystick,
Jubilee,
Jubilee_Age_of_Apocalypse,
Juggernaut,
Jule_Carpenter,
Julian_Keller,
Junta,
Justice,
Justin_Hammer,
Ka-Zar,
Kabuki,
Kang,
Karen_O'Malley,
Karen_Page,
Karma,
Karnak,
Karolina_Dean_,
Kat_Farrell,
Kate_Bishop,
Katie_Power,
Ken_Ellis,"Former Daily Bugle and current DB! reporter Ken Ellis first made a splash during the public debut of Ben Reilly as the Scarlet Spider, providing the new costumed hero with his name following a pitched battle with Venom."
Khan,
Kid_Colt,
Killer_Shrike,
Killmonger,
Killraven,
King_Bedlam,
King_Cobra,
Kingpin,
Kinsey_Walden,
Kitty_Pryde,
Kitty_Pryde_X-Men:_Battle_of_the_Atom,
Klaw,
Komodo_Melati_Kusuma,
Korath,
Korg,
Korvac,
Krakoa,
Kraven_the_Hunter,
Kree,
Krista_Starr,
Kronos,
Kulan_Gath,
Kwannon,
Kylun,
La_Nuit,
Lady_Bullseye,
Lady_Deathstrike,
Lady_Mastermind,
Lady_Ursula,
Lady_Vermin,
Lake,
Landau,
Lava-Man,
Layla_Miller,
Leader,
Leech,
Legion,
"Lei_Kung,_The_Thunderer",
Lenny_Balinger,
Leo_Zodiac,
Leopardon,
Leper_Queen,
Lester,
Lethal_Legion,
Lieutenant_Marcus_Stone,
Lifeguard,
Lightning_Lords_of_Nepal,
Lightspeed,
Lila_Cheney,
Lilandra,
Lilith,
Lily_Hollister,
Lionheart,
Living_Laser,
Living_Lightning,
Living_Mummy,
Living_Tribunal,
Liz_Osborn,
Lizard,
Lizard_Ultimate,
Loa,
Lockheed,
Lockjaw,
Logan,
Loki,
Loki_LEGO_Marvel_Super_Heroes,
Loners,
Longshot,
Longshot_Ultimate,
Lord_Hawal,
Lord_Tyger,
Lords_of_Avalon,
Lorna_Dane,
Luckman,
Lucky_Pierre,
Lucy_in_the_Sky,
Luke_Cage,
Luminals,
Luna_Snow_Luna_Snow,
Lyja,
M_Monet_St._Croix,
M.O.D.A.M.,
M.O.D.O.G.,
M.O.D.O.K.,
M.O.D.O.K._Iron_Man_3_-_The_Official_Game,
Ma_Gnuci,
Mac_Gargan,
Mach_IV,
Machine_Man,
Mad_Thinker,
Madame_Hydra,
Madame_Masque,
Madame_Web_Julia_Carpenter,
Maddog,
Madelyne_Pryor,
Madripoor,
Madrox,
Maelstrom,
Maestro,
Magdalene,
Maggott,
Magik_Amanda_Sefton,
Magik_Illyana_Rasputin,
Maginty,
Magma_Amara_Aquilla,
Magneto,
Magneto_Age_of_Apocalypse,
Magneto_House_of_M,
Magneto_Ultimate,
Magneto_X-Men:_Battle_of_the_Atom,
Magus_Adam_Warlock,
Magus_Technarch,
Major_Mapleleaf,
Makkari,
Malcolm_Colcord,
Malekith,
Malice_Earth-161,
Man-Thing,
Man-Wolf,
Mandarin,
Mandrill,
Mandroid,
Manta,
Mantis,
Marauders,
Marcus_Van_Sciver,
Maria_Hill,
Mariko_Yashida,"Mariko Yashida was the daughter of Japanese crimelord Lord Shingen, leader of Clan Yashida, and one-time fiance of Wolverine."
Marrow,
Marten_Broadcloak,
Martin_Li,
Marvel_Apes,
Marvel_Boy,
Marvel_Zombies,
Marvex,
Mary_Jane_Watson,"Mary Jane Watson was the guiding light in Peter Parker's life, and their love had overcome countless obstacles."
Mary_Jane_Watson_House_of_M,"Mary Jane Watson always wanted to be an actress, but all the roles seemed to go to mutants, until her former high school friend, and world famous performer, Peter Parker asked her to play his love interest in his newest movie, upon the release of which made her America's sweetheart and one of the only human movies stars able to launch her own solo projects."
Mary_Jane_Watson_Ultimate,
Masked_Marvel_Unrevealed,
Masque,
Master_Chief,
Master_Mold,
Mastermind,
Masters_of_Evil,
Mathemanic,
Matsu'o_Tsurayaba,"Tsurayaba became leader of a faction of the ninja clan the Hand, finding himself at odds with his lover Kwannon who was an assassin for rival crimelord Nyoirin."
Matthew_Murdock,
Mattie_Franklin,
Mauler,
Maverick_Chris_Bradley,
Maverick_Christoph_Nord,
Maximus,
May_Parker,
Medusa,
Meggan,
Meltdown,"When Tabitha Smith's mutant nature manifested at age 13, she ran away from her abusive home before eventually hooking up with the New Mutants and, subsequently, X-Force."
Menace,
Mentallo,
Mentor,
Mephisto,
Mephistopheles,
Mercury,
Mesmero,
Metal_Master,
Meteorite,
MI:_13,
Micro_Macro,
Microbe,
Microchip,
Micromax,
Midnight_Earth-811,
Miek,
Mikhail_Rasputin,
Millenium_Guard,
Millie_the_Model,
Mimic,
Mindworm,
Miracleman,"Michael Moran has a superhuman alter ego. By saying the trigger word ""Kimota!"" Michael turns into Miracleman! But is the good of being Miracleman enough to outweigh the cost?"
Miss_America,
Mister_Fear,
Mister_Sinister,
Mister_Sinister_Deadpool,
